GPS week,GPS second,solution status,latitude (deg),longitude (deg),height (m),approx-address
2236,39695,SOL_COMPUTED,51.56340917,0.067496121,14.6122,"182b Cranbrook Rd, Cranbrook, Ilford IG1 4LX, UK"
2236,39696,SOL_COMPUTED,51.56333433,0.06754228,13.7389,"Wycliffe House, 245-247 Cranbrook Rd, Cranbrook, Ilford IG1 4TD, UK"
2236,39697,SOL_COMPUTED,51.56325825,0.067582222,14.0475,"219 Cranbrook Rd, Cranbrook, Ilford IG1 4TD, UK"
2236,39698,SOL_COMPUTED,51.56318935,0.067654509,10.4636,"219 Cranbrook Rd, Cranbrook, Ilford IG1 4TD, UK"
2236,39699,SOL_COMPUTED,51.56311239,0.067702875,11.6637,"178 Cranbrook Rd, Cranbrook, Ilford IG1 4LX, UK"
2236,39700,SOL_COMPUTED,51.56301942,0.067724438,24.7828,"Coventry Road (Stop VJ), Cranbrook, Ilford IG1 4LX, UK"
2236,39701,SOL_COMPUTED,51.56295365,0.067743576,25.4715,"170A Cranbrook Rd, Cranbrook, Ilford IG1 4LX, UK"
2236,39702,SOL_COMPUTED,51.56292145,0.067806853,13.2621,"168 Cranbrook Rd, Cranbrook, Ilford IG1 4LX, UK"
2236,39705,SOL_COMPUTED,51.56278039,0.067897592,22.9423,"162 Cranbrook Rd, Cranbrook, Ilford IG1 4PE, UK"
2236,39706,SOL_COMPUTED,51.56277297,0.067955682,12.3564,"162 Cranbrook Rd, Cranbrook, Ilford IG1 4PE, UK"
2236,40047,SOL_COMPUTED,51.56179354,0.086807355,13.5466,"Ilford County Court, Ilford IG1 1TX, UK"
2236,40048,SOL_COMPUTED,51.56178853,0.087001095,10.5348,"Ilford County Court, Ilford IG1 1TX, UK"
2236,40049,SOL_COMPUTED,51.56185624,0.087202141,16.4982,"461B High Rd, Ilford IG1 1TX, UK"
2236,40050,SOL_COMPUTED,51.56188861,0.087350185,14.7512,"461B High Rd, Ilford IG1 1TX, UK"
2236,40051,SOL_COMPUTED,51.56190118,0.087518222,11.1941,"463 High Rd, Ilford IG1 1TX, UK"
2236,40052,SOL_COMPUTED,51.56193192,0.087674753,10.5856,"463 High Rd, Ilford IG1 1TX, UK"
2236,40317,SOL_COMPUTED,51.56631281,0.108329565,15.058,"811A High Rd, Ilford IG3 8TD, UK"
2236,40318,SOL_COMPUTED,51.56631557,0.108345136,15.1322,"811A High Rd, Ilford IG3 8TD, UK"
2236,40319,SOL_COMPUTED,51.56632161,0.108367592,15.2475,"811A High Rd, Ilford IG3 8TD, UK"
2236,40320,SOL_COMPUTED,51.56632539,0.108390249,15.3356,"811A High Rd, Ilford IG3 8TD, UK"
2236,40323,SOL_COMPUTED,51.56633438,0.108458853,15.8259,"811 High Rd, Ilford IG3 8TD, UK"
2236,40324,SOL_COMPUTED,51.56633784,0.108494313,15.8591,"762 High Rd, Ilford IG3 8SY, UK"
2236,40548,SOL_COMPUTED,51.56999295,0.126972281,23.8898,"4 Birchdale Gardens, Romford RM6 4DT, UK"
2236,40549,SOL_COMPUTED,51.57002538,0.127112449,26.0467,"4 Birchdale Gardens, Romford RM6 4DT, UK"
2236,40550,SOL_COMPUTED,51.57005057,0.127241095,29.1831,"Chadwell Arms, 1149 High Rd, Romford RM6 4AT, UK"
2236,40551,SOL_COMPUTED,51.5700825,0.127384747,27.1789,"Chadwell Arms, 1149 High Rd, Romford RM6 4AT, UK"
2236,41033,SOL_COMPUTED,51.57644321,0.17693459,19.674,"20-28 London Rd, Romford RM7 9RB, UK"
2236,41034,SOL_COMPUTED,51.57651737,0.176956657,19.5801,"20-28 London Rd, Romford RM7 9RB, UK"
2236,41035,SOL_COMPUTED,51.57658914,0.17699571,18.7123,"5 Yew Tree Gardens, Romford RM7 9AA, UK"
2236,41036,SOL_COMPUTED,51.57663339,0.17711014,11.0053,"H5GG+MR Romford, UK"
2236,45149,SOL_COMPUTED,51.58204712,0.120811134,27.5029,"86 Freshwell Ave, Romford RM6 5DR, UK"
2236,45150,SOL_COMPUTED,51.58203047,0.120808397,27.0682,"86 Freshwell Ave, Romford RM6 5DR, UK"
2236,45151,SOL_COMPUTED,51.58203176,0.120807852,26.8712,"86 Freshwell Ave, Romford RM6 5DR, UK"
2236,45152,SOL_COMPUTED,51.58203561,0.120806814,26.9732,"86 Freshwell Ave, Romford RM6 5DR, UK"
2236,45153,SOL_COMPUTED,51.58202287,0.120810629,25.9168,"86 Freshwell Ave, Romford RM6 5DR, UK"
2236,45154,SOL_COMPUTED,51.58202508,0.120809643,26.2424,"86 Freshwell Ave, Romford RM6 5DR, UK"
2236,45155,SOL_COMPUTED,51.58204091,0.120803077,27.915,"86 Freshwell Ave, Romford RM6 5DR, UK"
2236,45156,SOL_COMPUTED,51.58205447,0.120800767,28.3133,"86 Freshwell Ave, Romford RM6 5DR, UK"
2236,45157,SOL_COMPUTED,51.58204861,0.120800094,28.8622,"86 Freshwell Ave, Romford RM6 5DR, UK"
2236,45158,SOL_COMPUTED,51.58203753,0.120800843,27.0791,"86 Freshwell Ave, Romford RM6 5DR, UK"
