latitude (deg),longitude (deg),approx-address
51.55287176,-0.254981998,"Book Centre Mansions, N Circular Rd., London NW10 0JD, UK"
51.55275971,-0.255327545,"392-390 A406, London NW10, UK"
51.55285001,-0.255307037,"392-390 A406, London NW10, UK"
51.55291026,-0.255109715,"Book Centre Mansions, N Circular Rd., London NW10 0JD, UK"
51.59731696,-0.179295316,"280 Long Ln, London N3 2RN, UK"
51.59747747,-0.179054039,"Long Lane North Circular Rd, London N2 8HS, UK"
51.59179467,0.045064805,"4 Southend Rd, Woodford, Woodford Green IG8 8HD, UK"
51.59169625,0.045418099,"214 Southend Rd, Woodford, Woodford Green IG8 8QH, UK"
51.59159761,0.045722742,"224 Southend Rd, Woodford, Woodford Green IG8 8QH, UK"
51.59148549,0.046006248,"6 Southend Rd, Woodford, Woodford Green IG8 8HD, UK"
51.52540474,0.16926125,"49 New Rd, Rainham RM13 8DY, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52577415,0.16773336,"2 South St, Rainham RM13 8PJ, UK"
51.5258296,0.167510018,"2 South St, Rainham RM13 8PJ, UK"
51.52587924,0.167287719,"South Street (Stop MF), Rainham RM13 8DJ, UK"
51.52592314,0.16701758,"South Street (Stop MF), Rainham RM13 8DJ, UK"
51.56544079,0.145024807,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56542884,0.145068432,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56544838,0.145111746,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.5654594,0.14516049,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56545637,0.145206255,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56546284,0.145247831,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56546716,0.145438442,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56544307,0.145477392,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
