,latitude,longitude,geometry,distance
1045342,51.571198,0.127029,POINT (0.127029 51.571198),0.07457126474256433
1045342,51.571198,0.127029,POINT (0.127029 51.571198),0.07037219733719628
835764,51.57692,0.177841,POINT (0.177841 51.57692),0.04144576557015927
835764,51.57692,0.177841,POINT (0.177841 51.57692),0.03478266180690431
796615,51.574956,0.08342,POINT (0.08342 51.574956),0.014144467924739956
796615,51.574956,0.08342,POINT (0.08342 51.574956),0.019222114705785612
537081,51.575661,0.083084,POINT (0.083084 51.575661),0.023893107261206845
537081,51.575661,0.083084,POINT (0.083084 51.575661),0.02126428105801757
537081,51.575661,0.083084,POINT (0.083084 51.575661),0.021704350919350104
381441,51.57600403,0.083084106,POINT (0.083084106 51.57600403),0.02081611645131124
208537,51.517639,0.033646,POINT (0.033646 51.517639),0.022988544729102146
227993,51.516953,0.033646,POINT (0.033646 51.516953),0.024477100339314894
679249,51.516953,0.032959,POINT (0.032959 51.516953),0.022120372161653818
598327,51.51695251,0.032272339,POINT (0.032272339 51.51695251),0.01992497750064638
598327,51.51695251,0.032272339,POINT (0.032272339 51.51695251),0.01992497750064638
598327,51.51695251,0.032272339,POINT (0.032272339 51.51695251),0.01992497750064638
598327,51.51695251,0.032272339,POINT (0.032272339 51.51695251),0.01992497750064638
598327,51.51695251,0.032272339,POINT (0.032272339 51.51695251),0.01992497750064638
598327,51.51695251,0.032272339,POINT (0.032272339 51.51695251),0.01992497750064638
598327,51.51695251,0.032272339,POINT (0.032272339 51.51695251),0.01992497750064638
598327,51.51695251,0.032272339,POINT (0.032272339 51.51695251),0.01992497750064638
598327,51.51695251,0.032272339,POINT (0.032272339 51.51695251),0.01992497750064638
679172,51.502544,0.044584,POINT (0.044584 51.502544),0.025074397549623886
679172,51.502544,0.044584,POINT (0.044584 51.502544),0.01847713020378662
382984,51.60072327,-0.017166138,POINT (-0.017166138 51.60072327),0.013886196973241026
382984,51.60072327,-0.017166138,POINT (-0.017166138 51.60072327),0.011016732425842096
382984,51.60072327,-0.017166138,POINT (-0.017166138 51.60072327),0.010066762077992059
382984,51.60072327,-0.017166138,POINT (-0.017166138 51.60072327),0.009488437565333878
382984,51.60072327,-0.017166138,POINT (-0.017166138 51.60072327),0.00897893935965746
382984,51.60072327,-0.017166138,POINT (-0.017166138 51.60072327),0.009129388919419551
428936,51.5248,0.176468,POINT (0.176468 51.5248),0.05440277393643527
428936,51.5248,0.176468,POINT (0.176468 51.5248),0.05438179629643068
428936,51.5248,0.176468,POINT (0.176468 51.5248),0.0543851467587552
428936,51.5248,0.176468,POINT (0.176468 51.5248),0.05435403166964228
428936,51.5248,0.176468,POINT (0.176468 51.5248),0.05437466306444374
428936,51.5248,0.176468,POINT (0.176468 51.5248),0.054356190990508264
428936,51.5248,0.176468,POINT (0.176468 51.5248),0.05434609539320623
428936,51.5248,0.176468,POINT (0.176468 51.5248),0.054361252458629016
955024,51.54167175,0.081710815,POINT (0.081710815 51.54167175),0.051662004577654554
679456,51.54029846,0.081710815,POINT (0.081710815 51.54029846),0.04591613142673791
679456,51.54029846,0.081710815,POINT (0.081710815 51.54029846),0.041839651808311985
679456,51.54029846,0.081710815,POINT (0.081710815 51.54029846),0.04326223640058462
886129,51.569481,0.119476,POINT (0.119476 51.569481),0.013048286093103299
886129,51.569481,0.119476,POINT (0.119476 51.569481),0.013048286093103299
